집행목적,대상인원,집행금액,1소속부서,집행지주소,집행지명,cnt
전략적 인터뷰 방안 마련 간담회,인터뷰팀장 등 2명,36000,대변인,중구 남대문로,서울불고기,1
만리동광장 서울로 7017사업으로 새롭게 태어난다 보도자료 관련 간담회,대변인 등 4명,100000,대변인,중구 세종대로,열빈,1
기자실 운영 지원방안 업무협의 간담회,언론담당관 등 2명,27000,대변인,중구 다동길,부추밭,1
저층주거지 미래 정책토론회 개최 보도자료 관련 간담회,신문팀 박병수 등 4명,32000,대변인,중구 다동길,오징어　풍경,1
보도관리시스템 개선 방안 마련 업무협의 간담회,행정팀 성옥현 등 4명,60000,대변인,중구 무교동,영덕회식당,1
보안문서 파쇄 노고 격려 간담회,행정팀 선일규 등 3명,58800,대변인,중구 남대문로,더　후라이팬,1
맞춤형 방송 기획 취재지원 방안 업무협의 간담회,방송팀장 등 5명,130000,대변인,중구 세종대로,우도일식,1
세계 100대 재난회복력도시 선정식 개최 보도자료 관련 간담회,대변인 등 10명,263500,대변인,중구 남대문로,해우리,1
시정 인터뷰 아이템 발굴 업무협의 간담회,언론담당관 등 4명,72000,대변인,중구 남대문로,목포세발낙지,1
언론 관련 비영리법인 설립 검토 업무협의 간담회,언론담당관 등 3명,66000,대변인,중구 남대문로,서울삼계탕,1
출입기자단 스킨십 증진 방안 업무협의 간담회,언론담당관 등 3명,50000,대변인,종로구 종로,동해물회,1
당번 노고 격려 간담회,신문팀장 등 2명,12000,대변인, 중구 남대문로,충무집김밥,1
서울에너지공사 출범 기자설명회 관련 간담회,대변인 등 15명,390000,대변인,중구 세종대로,우도일식,1
시정 스크랩 개선방안 마련 업무협의 간담회,언론담당관 등 5명,133000,대변인,중구 무교동,남산집,1
언론 네트워크 강화 방안마련 간담회,행정팀 성옥현 등 4명,68000,대변인,중구 을지로,낙동강,1
시정 홍보 정동사진 지원방안 마련 업무협의 간담회,대변인 등 8명,175000,대변인,중구 세종대로,금강산,1
프레스투어 지원 방안 마련 간담회,신문팀장 등 4명,44000,대변인,중구 남대문로,미가한식,1
"대언론 메시지 작성, 관리방안 마련 간담회",신문팀장 등 5명,120000,대변인,중구 무교로,태애진숯불갈비,1
맞춤형 방송 아이템 발굴 업무협의 간담회,언론담당관 등 3명,42000,대변인,종로구 청계천로,원대구탕,1
대변인 성과관리계획 작성 업무협의 간담회,행정팀장 등 2명,60000,대변인,중구 무교로,장군보쌈,1
실국 수퍼데스크 이슈 발굴 업무협의 간담회,신문팀장 등 5명,94000,대변인,중구 무교로,무교소호정,1
당번 노고 격려 간담회,신문팀장 등 3명,55500,대변인,중구 세종대로,사보텐,1
복지응급실 '긴급복지' 가동 보도자료 관련 간담회,대변인 등 7명,196000,대변인,중구 무교로,곰국시집,1
언론사 동정 관리 업무협의 간담회,언론담당관 등 2명,50000,대변인,중구 무교로,동해수산,1
"서민 울리는 민생침해, 시민 모니터링단이 감시 보도자료 관련 간담회",신문팀장 등 2명,30000,대변인,중구 남대문로,해우리,1
보도계획 수립 및 보도자료 발굴 업무협의 간담회,신문팀장 등 6명,153000,대변인,중구 을지로,반갑다하대포,1
당번 노고 격려 간담회,행정팀장 등 4명,7600,대변인,중구 을지로,일리하우스,1
